Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,MDCF-10---,DANCE FOUNDATIONS 10,Fine Arts,,,Regular,11,,16,,29,,1.0
,,,,,,,,5,,,,,
,MDCF-11---,DANCE FOUNDATIONS 11,Fine Arts,,,Regular,7,,8,,29,,1.0
,,,,,,,,1,,,,,
,MDCF-12---,DANCE FOUNDATIONS 12,Fine Arts,,,Regular,4,,6,,29,,1.0
,,,,,,,,2,,,,,
,MDCOM11C--,COMPUTER STUDIES 11,Information Tech,,,Regular,1,,1,,24,,1.0
,,,,,,,,0,,,,,
,MDMD-12D--,3D ANIMATION 12,Information Tech,,,Regular,22,,50,,24,,1.0
,,,,,,,,28,,,,,
,MDNC-09C-L,DANCE 9 Choreography Linear,Fine Arts,,,Regular,7,,7,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-09F--,DANCE 9 Foundations,Fine Arts,,,Regular,6,,10,,29,,1.0
,,,,,,,,4,,,,,
,MDNC-09H--,DANCE 9 HIP HOP,Fine Arts,,,Regular,4,,4,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-09M-L,DANCE 9 Company: Platform 61 Linear,Fine Arts,,,Regular,9,,9,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-09PT-,DANCE 9 Performance and Technique,Fine Arts,,,Regular,7,,10,,29,,1.0
,,,,,,,,3,,,,,
,MDNC-10--L,DANCE 10: CHOREOGRAPHY Linear,Fine Arts,,,Regular,11,,11,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-11--L,DANCE 11: CHOREOGRAPHY Linear,Fine Arts,,,Regular,10,,10,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-12--L,DANCE 12: CHOREOGRAPHY Linear,Fine Arts,,,Regular,12,,12,,29,,1.0
,,,,,,,,0,,,,,
,MDNCM10--L,DANCE COMPANY 10 Linear,Fine Arts,,,Regular,13,,13,,29,,1.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 4,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MDNCM11--L,DANCE COMPANY 11 Linear,Fine Arts,,,Regular,10,,10,,29,,1.0
,,,,,,,,0,,,,,
,MDNCM12--L,DANCE COMPANY 12 Linear,Fine Arts,,,Regular,11,,11,,29,,1.0
,,,,,,,,0,,,,,
,MDNCN11---,DANCE CONDITIONING 11,Fine Arts,,,Regular,12,,14,,29,,1.0
,,,,,,,,2,,,,,
,MDNCN12---,DANCE CONDITIONING 12,Fine Arts,,,Regular,6,,6,,29,,1.0
,,,,,,,,0,,,,,
,MDNTP10---,DANCE TECHNIQUE AND PERFORMANCE 10,Fine Arts,,,Regular,9,,10,,29,,1.0
,,,,,,,,1,,,,,
,MDNTP11---,DANCE TECHNIQUE AND PERFORMANCE 11,Fine Arts,,,Regular,9,,10,,29,,1.0
,,,,,,,,1,,,,,
,MDNTP12---,DANCE TECHNIQUE AND PERFORMANCE 12,Fine Arts,,,Regular,2,,3,,29,,1.0
,,,,,,,,1,,,,,
,MDR--09---,DRAMA 9,Fine Arts,,,Regular,16,,21,,29,,1.0
,,,,,,,,5,,,,,
,MDRM-10---,DRAMA 10,Fine Arts,,,Regular,21,,31,,29,,2.0
,,,,,,,,10,,,,,
,MDRM-11---,DRAMA 11,Fine Arts,,,Regular,15,,30,,29,,2.0
,,,,,,,,15,,,,,
,MDRM-12---,DRAMA 12,Fine Arts,,,Regular,25,,35,,29,,2.0
,,,,,,,,10,,,,,
,MECOM12---,E-COMMERCE 12,Applied Skills,,,Regular,37,,51,,29,,2.0
,,,,,,,,14,,,,,
,MEFWR10---,EFP WRITING 10,English,,,Regular,75,,76,,24,,3.0
,,,,,,,,1,,,,,
,MEN--09---,ENGLISH LANGUAGE ARTS 9,English,,,Regular,133,,134,,24,,7.0
,,,,,,,,1,,,,,
,MEN--09C--,ENGLISH LANGUAGE ARTS 9 CHALLENGE,English,,,Regular,46,,46,,24,,2.0
,,,,,,,,0,,,,,
,MEN--09E--,ENGLISH 9 FOR ELL,English,,,Regular,40,,40,,24,,2.0
,,,,,,,,0,,,,,
,MENFP12---,ENGLISH FIRST PEOPLES 12,English,,,Regular,121,,122,,24,,6.0
,,,,,,,,1,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 5,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MENFP12--Y,ENGLISH FIRST PEOPLES 12 Year,English,,,Regular,29,,29,,24,,2.0
,,,,,,,,0,,,,,
,MENST12---,ENGLISH STUDIES 12,English,,,Regular,51,,51,,24,,2.0
,,,,,,,,0,,,,,
,MENST12C--,ENGLISH STUDIES 12 CHALLENGE,English,,,Regular,29,,29,,24,,2.0
,,,,,,,,0,,,,,
,MENT-12---,ENTREPRENEURSHIP 12,Business Education,,,Regular,31,,47,,29,,1.0
,,,,,,,,16,,,,,
